0007 006	9	6
0007 012	57	30
0007 014	56	29
0007 117	16	5
0007 121	40	21
0007 201	32	11
0007 203	27	10
0007 204	80	16
0007 205	34	5
0007 206	36	19
0007 208	35	18
0007 209	54	11
0007 210	50	26
0007 211	47	10
0007 214	52	27
0007 215	46	9
0007 216	48	24
0007 217	19	6
0007 221	49	25
0007 222	17	3
0007 303	25	8
0007 306	70	39
0007 310	43	23
0007 312	24	13
0007 316	62	34
0007 317	13	4
0007 321	28	14
0007 403	26	9
0007 410	23	12
0007 412	22	11
0007 414	71	40
0007 417	3	2
0007 421	6	4
0007 503	21	7
0007 506	29	15
0007 510	67	38
0007 516	20	10
0007 517	1	1
0010 102	117	67
0010 103	46	36
0010 105	17	13
0010 106	39	31
0010 107	26	20
0010 108	6	4
0010 109	41	33
0010 113	9	7
0010 115	24	18
0010 116	76	46
0010 117	34	7
0010 501	103	61
0010 502	58	40
0010 503	101	59
0010 504	38	30
0010 505	108	65
0010 506	89	53
0010 507	100	58
0010 508	90	54
0010 509	107	64
0010 510	102	60
0010 511	99	57
0010 512	77	47
0010 513	69	41
0010 514	79	48
0010 515	49	9
0012 101	22	20
0012 101N	77	6
0012 101S	82	1
0012 102	41	35
0012 102N	95	3
0012 102S	83	2
0012 103	103	20
0012 104	25	23
0012 105	32	28
0012 106	40	34
0012 107	42	36
0012 111	17	16
0012 112	7	7
0012 113	58	8
0012 114	16	15
0012 115	2	2
0012 200	89	70
0012 200N	69	54
0012 201N	196	14
0012 201S	72	5
0012 202N	210	16
0012 202S	181	11
0012 204	70	55
0012 205	71	56
0012 207	73	58
0012 213	330	57
0012 216	72	57
0012 300	278	184
0012 300N	65	41
0012 301N	162	10
0012 301S	250	17
0012 302	468	319
0012 302N	277	22
0012 302S	188	13
0012 303	554	88
0012 304	368	254
0012 305	464	316
0012 306	420	293
0012 307	477	326
0012 310	451	307
0012 311	279	185
0012 312	393	275
0012 313	567	92
0012 314	280	186
0012 315	343	236
0012 316	337	230
0012 317	344	237
0012 400N	87	55
0012 400S	103	67
0012 401	20	3
0012 401N	38	3
0012 401S	29	1
0012 402N	256	19
0012 402S	287	23
0012 403	18	2
0012 404	285	191
0012 405	180	118
0012 406	329	224
0012 407	289	194
0012 411	28	4
0012 413	12	1
0012 414	286	192
0012 415	179	117
0012 416	284	190
0012 417	288	193
0014 111	66	4
0014 112	687	61
0014 113	454	309
0014 114	263	176
0014 117	500	339
0014 118	126	81
0014 119	82	7
0014 121	456	310
0014 122	615	44
0014 123	475	324
0014 125	476	325
0014 126	516	350
0014 127	667	54
0014 128	668	55
0014 210	7	5
0014 211	707	66
0014 212	630	45
0014 213	327	222
0014 214	50	30
0014 219	199	15
0014 220	326	26
0014 221	273	17
0014 222	272	180
0014 225	48	28
0014 227	695	64
0014 228	694	63
0014 311	731	76
0014 312	305	24
0014 314	306	204
0014 318	691	62
0014 319	352	28
0014 320	733	78
0014 321	308	25
0014 322	473	323
0014 325	325	221
0014 326	408	288
0014 327	591	41
0014 328	335	27
0014 329	11	7
0014 410	34	18
0014 411	721	74
0014 412	720	73
0014 413	497	338
0014 414	494	336
0014 417	543	362
0014 418	664	52
0014 419	663	51
0014 420	434	39
0014 421	719	72
0014 422	534	357
0014 425	524	353
0014 426	542	361
0014 427	717	71
0014 428	732	77
0014 429	36	20
0019 045	29	23
0019 051	114	28
0019 053	113	27
0019 061	93	15
0019 065	115	29
0019 081	109	24
0019 082	60	8
