Room,Building,,Contract Status Date,,,Class Year,,College,,,
024,SPELMAN,,"Apr 1, 2013 9:01:01 AM",,,2014,,UPPER,,,
024,SPELMAN,,"Apr 1, 2013 9:01:02 AM",,,2014,,UPPER,,,
024,SPELMAN,,"Apr 1, 2013 9:01:02 AM",,,2014,,UPPER,,,
024,SPELMAN,,"Apr 1, 2013 9:01:02 AM",,,2014,,UPPER,,,
023,SPELMAN,,"Apr 1, 2013 9:01:37 AM",,,2014,,UPPER,,,
023,SPELMAN,,"Apr 1, 2013 9:01:37 AM",,,2014,,UPPER,,,
023,SPELMAN,,"Apr 1, 2013 9:01:37 AM",,,2014,,UPPER,,,
023,SPELMAN,,"Apr 1, 2013 9:01:37 AM",,,2014,,UPPER,,,
084,SPELMAN,,"Apr 1, 2013 9:10:14 AM",,,2014,,UPPER,,,
084,SPELMAN,,"Apr 1, 2013 9:10:14 AM",,,2014,,UPPER,,,
084,SPELMAN,,"Apr 1, 2013 9:10:14 AM",,,2014,,UPPER,,,
084,SPELMAN,,"Apr 1, 2013 9:10:15 AM",,,2014,,UPPER,,,
054,SPELMAN,,"Apr 1, 2013 9:14:41 AM",,,2014,,UPPER,,,
054,SPELMAN,,"Apr 1, 2013 9:14:42 AM",,,2014,,UPPER,,,
054,SPELMAN,,"Apr 1, 2013 9:14:42 AM",,,2014,,UPPER,,,
054,SPELMAN,,"Apr 1, 2013 9:14:42 AM",,,2014,,UPPER,,,
076,SPELMAN,,"Apr 1, 2013 9:20:12 AM",,,2014,,UPPER,,,
076,SPELMAN,,"Apr 1, 2013 9:20:12 AM",,,2014,,UPPER,,,
076,SPELMAN,,"Apr 1, 2013 9:20:12 AM",,,2014,,UPPER,,,
076,SPELMAN,,"Apr 1, 2013 9:20:12 AM",,,2014,,UPPER,,,
052,SPELMAN,,"Apr 1, 2013 9:25:01 AM",,,2014,,UPPER,,,
052,SPELMAN,,"Apr 1, 2013 9:25:01 AM",,,2014,,UPPER,,,
052,SPELMAN,,"Apr 1, 2013 9:25:01 AM",,,2015,,UPPER,,,
052,SPELMAN,,"Apr 1, 2013 9:25:01 AM",,,2014,,UPPER,,,
021,SPELMAN,,"Apr 1, 2013 9:30:54 AM",,,2014,,UPPER,,,
021,SPELMAN,,"Apr 1, 2013 9:30:54 AM",,,2014,,UPPER,,,
021,SPELMAN,,"Apr 1, 2013 9:30:54 AM",,,2014,,UPPER,,,
021,SPELMAN,,"Apr 1, 2013 9:30:54 AM",,,2014,,UPPER,,,
022,SPELMAN,,"Apr 1, 2013 9:42:42 AM",,,2014,,UPPER,,,
022,SPELMAN,,"Apr 1, 2013 9:42:42 AM",,,2014,,UPPER,,,
022,SPELMAN,,"Apr 1, 2013 9:42:42 AM",,,2014,,UPPER,,,
022,SPELMAN,,"Apr 1, 2013 9:42:42 AM",,,2014,,UPPER,,,
