0007 006	45	27
0007 012	48	29
0007 014	63	36
0007 117	37	10
0007 121	10	6
0007 201	51	16
0007 203	15	6
0007 205	89	13
0007 206	64	37
0007 208	32	20
0007 209	87	12
0007 210	50	30
0007 211	86	11
0007 214	58	34
0007 215	18	3
0007 216	12	7
0007 217	13	5
0007 221	17	9
0007 222	11	1
0007 303	20	7
0007 306	41	26
0007 310	39	24
0007 312	40	25
0007 316	57	33
0007 317	4	3
0007 321	19	10
0007 403	6	4
0007 412	8	4
0007 414	7	3
0007 416	1	1
0007 417	2	1
0007 421	29	18
0007 503	35	9
0007 506	36	22
0007 510	28	17
0007 516	16	8
0007 517	3	2
0010 101	46	35
0010 102	92	61
0010 103	88	60
0010 106	19	16
0010 107	35	28
0010 108	29	24
0010 109	38	30
0010 113	16	15
0010 115	103	66
0010 116	82	57
0010 117	48	6
0010 501	53	39
0010 502	52	38
0010 503	55	41
0010 504	43	34
0010 505	69	48
0010 506	57	42
0010 507	63	45
0010 508	58	43
0010 509	72	50
0010 510	77	54
0010 511	54	40
0010 512	47	36
0010 513	51	37
0010 514	70	49
0010 515	71	9
0012 101	42	34
0012 101N	331	28
0012 101S	49	3
0012 102	52	40
0012 102N	30	1
0012 102S	55	4
0012 103	44	6
0012 104	37	30
0012 105	38	31
0012 106	59	43
0012 107	94	72
0012 111	35	28
0012 112	29	24
0012 113	95	14
0012 114	22	18
0012 115	23	19
0012 200	91	69
0012 200N	70	48
0012 201N	303	24
0012 201S	314	26
0012 202N	302	23
0012 202S	316	27
0012 204	89	67
0012 205	86	64
0012 207	93	71
0012 213	25	6
0012 216	84	62
0012 300	315	233
0012 300N	120	80
0012 301N	267	19
0012 301S	345	29
0012 302	348	258
0012 302N	268	20
0012 302S	193	13
0012 303	346	41
0012 306	349	259
0012 307	449	317
0012 310	221	158
0012 311	266	194
0012 312	347	257
0012 313	414	49
0012 314	220	157
0012 315	278	204
0012 317	372	276
0012 400N	68	45
0012 400S	49	31
0012 401	2	1
0012 401N	47	4
0012 401S	123	8
0012 402N	69	5
0012 402S	71	6
0012 403	8	2
0012 404	219	156
0012 405	271	197
0012 406	403	297
0012 411	36	3
0012 413	55	4
0012 414	124	82
0012 415	125	83
0012 417	467	330
0014 111	93	7
0014 112	670	74
0014 113	324	239
0014 114	327	242
0014 117	73	46
0014 119	75	5
0014 121	442	312
0014 122	674	75
0014 123	328	243
0014 125	326	241
0014 127	441	24
0014 128	443	25
0014 210	37	23
0014 211	687	81
0014 212	615	55
0014 219	396	35
0014 220	397	36
0014 221	637	61
0014 222	146	100
0014 225	144	98
0014 226	145	99
0014 227	631	59
0014 228	622	57
0014 311	690	82
0014 312	424	40
0014 314	322	238
0014 318	634	60
0014 319	426	41
0014 320	679	78
0014 321	306	25
0014 322	466	329
0014 325	190	132
0014 326	192	134
0014 327	641	62
0014 328	434	44
0014 329	35	22
0014 410	22	13
0014 411	680	79
0014 412	661	72
0014 417	427	310
0014 418	547	37
0014 419	656	68
0014 421	678	77
0014 427	613	54
0014 428	692	84
0014 429	50	32
0019 045	104	67
0019 051	112	26
0019 061	107	13
0019 065	113	27
0019 081	101	20
0019 082	90	17
0019 083	100	19
0019 084	114	16
0019 091	108	24
0019 093	91	10
0019 095	87	15
0019 096	49	5
0019 097	81	12
0019 098	50	6
0019 102	83	13
0019 114	21	18
0019 301	102	21
0019 302	97	18
0019 A02	32	25
0021 012	68	2
0021 013	89	16
0021 031	106	23
0021 033	105	22
0021 045	1	1
0021 047	2	1
0021 048	62	44
0021 051	31	2
0021 053	111	25
0021 055	8	7
0021 057	17	2
0021 062	4	3
0021 063	45	4
0021 071	78	2
0021 073	61	10
0021 074	56	7
0021 077	37	3
0021 081	115	28
0021 083	25	4
0021 085	18	3
0021 091	676	76
0021 093	657	69
0021 095	116	78
0021 097	649	65
0021 101	659	70
0021 103	660	71
0021 105	653	66
0021 111	118	9
0021 115	436	21
0021 121	515	32
0021 122	516	33
0021 123	480	30
0021 124	26	16
0021 131	237	15
0021 141	475	61
0021 142	401	19
0021 143	476	29
0021 145	623	58
0021 146	437	22
0021 301	59	8
0021 302	11	10
0021 303	10	9
0021 305	67	47
0021 307	79	55
0021 309	80	56
0021 311	23	20
0021 313	99	65
0021 318	7	6
0021 321	75	53
0021 323	27	22
0021 325	74	52
0021 327	73	51
0021 329	76	11
0021 381	30	1
0021 385	9	8
0021 387	42	33
0021 389	33	26
0021 391	34	27
0021 393	26	21
0021 395	5	4
0021 399	117	8
0021 401	60	9
0021 A10	56	8
0021 A14	104	6
0021 A16	58	10
0021 A20	103	18
0021 A24	12	11
0021 A28	64	12
