Room 	Date/Time Drawn
SPELMAN 025	Apr 6, 2017 9:30:53 AM
SPELMAN 022	Apr 6, 2017 9:35:48 AM
SPELMAN 032	Apr 6, 2017 9:41:38 AM
SPELMAN 047	Apr 6, 2017 9:46:38 AM
SPELMAN 048	Apr 6, 2017 9:47:15 AM
SPELMAN 024	Apr 6, 2017 9:55:33 AM
SPELMAN 076	Apr 6, 2017 10:00:12 AM
SPELMAN 073	Apr 6, 2017 10:00:46 AM
SPELMAN 066	Apr 6, 2017 10:08:46 AM
SPELMAN 056	Apr 6, 2017 10:14:09 AM
SPELMAN 064	Apr 6, 2017 10:18:46 AM
SPELMAN 021	Apr 6, 2017 10:23:43 AM
SPELMAN 055	Apr 6, 2017 10:29:08 AM
SPELMAN 075	Apr 6, 2017 10:33:44 AM
SPELMAN 074	Apr 6, 2017 10:42:03 AM
SPELMAN 023	Apr 6, 2017 10:43:19 AM
SPELMAN 054	Apr 6, 2017 10:48:03 AM
SPELMAN 068	Apr 6, 2017 11:04:06 AM
SPELMAN 067	Apr 6, 2017 11:04:42 AM
SPELMAN 041	Apr 6, 2017 11:06:55 AM
SPELMAN 045	Apr 6, 2017 11:12:43 AM
SPELMAN 043	Apr 6, 2017 11:15:37 AM
SPELMAN 083	Apr 6, 2017 11:17:51 AM
SPELMAN 084	Apr 6, 2017 11:18:43 AM
SPELMAN 037	Apr 6, 2017 11:30:05 AM
SPELMAN 038	Apr 6, 2017 11:31:23 AM
SPELMAN 034	Apr 6, 2017 11:37:52 AM
SPELMAN 065	Apr 6, 2017 11:48:52 AM
SPELMAN 085	Apr 6, 2017 11:49:47 AM
SPELMAN 036	Apr 6, 2017 12:00:22 PM
SPELMAN 016	Apr 6, 2017 12:08:11 PM
SPELMAN 053	Apr 6, 2017 12:09:17 PM
SPELMAN 035	Apr 6, 2017 12:12:45 PM
SPELMAN 071	Apr 6, 2017 12:17:11 PM
SPELMAN 011	Apr 6, 2017 12:24:38 PM
SPELMAN 078	Apr 6, 2017 12:35:27 PM
SPELMAN 077	Apr 6, 2017 12:35:27 PM
SPELMAN 082	Apr 6, 2017 12:44:01 PM
SPELMAN 017	Apr 6, 2017 12:45:36 PM
SPELMAN 018	Apr 6, 2017 12:46:25 PM
SPELMAN 086	Apr 6, 2017 12:55:45 PM
SPELMAN 046	Apr 6, 2017 12:56:26 PM
SPELMAN 052	Apr 6, 2017 1:03:50 PM
SPELMAN 051	Apr 6, 2017 1:04:24 PM
SPELMAN 026	Apr 6, 2017 1:11:37 PM
SPELMAN 012	Apr 6, 2017 1:16:46 PM
